Student_ID,Hours_Studied,Attendance,Final_Marks
1,3.7,67,21
2,9.5,75,40
3,7.3,93,40
4,6,83,34
5,1.6,59,30
6,1.6,85,30
7,0.6,63,30
8,8.7,80,38
9,6,97,37
10,7.1,64,29
11,0.2,57,28
12,9.7,63,34
13,8.3,72,40
14,2.1,89,38
15,1.8,70,46
16,1.8,65,22
17,3,94,37
18,5.2,67,29
19,4.3,96,33
20,2.9,73,36
21,6.1,75,38
22,1.4,74,30
23,2.9,94,36
24,3.7,90,30
25,4.6,78,30
26,7.9,64,33
27,2,94,38
28,5.1,50,20
29,5.9,74,35
30,0.5,56,28
31,6.1,58,28
32,1.7,73,32
33,0.7,50,27
34,9.5,93,43
35,9.7,57,26
36,8.1,73,37
37,3,60,24
38,1,100,39
39,6.8,66,36
40,4.4,57,24
41,1.2,84,21
42,5,84,38
43,0.3,82,31
44,9.1,54,25
45,2.6,91,40
46,6.6,88,38
47,3.1,90,39
48,5.2,77,23
49,5.5,56,20
50,1.8,58,31
